,brewery_id,brewery_name,city,state
420,420,Gore Range Brewery,Edwards, CO
421,421,Redstone Meadery,Boulder, CO
422,422,Blue Dog Mead,Eugene, OR
423,423,Hess Brewing Company,San Diego, CA
424,424,Wynkoop Brewing Company,Denver, CO
425,425,Ciderboys,Stevens Point, WI
426,426,Armadillo Ale Works,Denton, TX
427,427,Roanoke Railhouse Brewery,Roanoke, VA
428,428,Schlafly Brewing Company,Saint Louis, MO
429,429,Asher Brewing Company,Boulder, CO
430,430,Lost Rhino Brewing Company,Ashburn, VA
431,431,North Country Brewing Company,Slippery Rock, PA
432,432,Seabright Brewery,Santa Cruz, CA
433,433,French Broad Brewery,Asheville, NC
434,434,Angry Orchard Cider Company,Cincinnati, OH
435,435,Two Roads Brewing Company,Stratford, CT
436,436,Southern Oregon Brewing Company,Medford, OR
437,437,Brooklyn Brewery,Brooklyn, NY
438,438,The Right Brain Brewery,Traverse City, MI
439,439,Kona Brewing Company,Kona, HI
440,440,MillKing It Productions,Royal Oak, MI
441,441,Pateros Creek Brewing Company,Fort Collins, CO
442,442,O'Fallon Brewery,O'Fallon, MO
443,443,Marble Brewery,Albuquerque, NM
444,444,Big Wood Brewery,Vadnais Heights, MN
445,445,Howard Brewing Company,Lenoir, NC
446,446,Downeast Cider House,Leominster, MA
447,447,Swamp Head Brewery,Gainesville, FL
448,448,Mavericks Beer Company,Half Moon Bay, CA
449,449,TailGate Beer,San Diego, CA
450,450,Northwest Brewing Company,Pacific, WA
451,451,Dad & Dude's Breweria,Aurora, CO
452,452,Centennial Beer Company,Edwards, CO
453,453,Denali Brewing Company,Talkeetna, AK
454,454,Deschutes Brewery,Bend, OR
455,455,Sunken City Brewing Company,Hardy, VA
456,456,Lucette Brewing Company,Menominie, WI
457,457,The Black Tooth Brewing Company,Sheridan, WY
458,458,Kenai River Brewing Company,Soldotna, AK
459,459,River North Brewery,Denver, CO
460,460,Fremont Brewing Company,Seattle, WA
461,461,Armstrong Brewing Company,South San Francisco, CA
462,462,AC Golden Brewing Company,Golden, CO
463,463,Big Bend Brewing Company,Alpine, TX
464,464,Good Life Brewing Company,Bend, OR
465,465,Engine 15 Brewing,Jacksonville Beach, FL
466,466,Green Room Brewing,Jacksonville, FL
467,467,Brindle Dog Brewing Company,Tampa Bay, FL
468,468,Peace Tree Brewing Company,Knoxville, IA
469,469,Terrapin Brewing Company,Athens, GA
470,470,Pete's Brewing Company,San Antonio, TX
471,471,Okoboji Brewing Company,Spirit Lake, IA
472,472,Crystal Springs Brewing Company,Boulder, CO
473,473,Engine House 9,Tacoma, WA
474,474,Tonka Beer Company,Minnetonka, MN
475,475,Red Hare Brewing Company,Marietta, GA
476,476,Hangar 24 Craft Brewery,Redlands, CA
477,477,Big Elm Brewing,Sheffield, MA
478,478,Good People Brewing Company,Birmingham, AL
479,479,Heavy Seas Beer,Halethorpe, MD
480,480,Telluride Brewing Company,Telluride, CO
481,481,7 Seas Brewing Company,Gig Harbor, WA
482,482,Confluence Brewing Company,Des Moines, IA
483,483,Bale Breaker Brewing Company,Yakima, WA
484,484,The Manhattan Brewing Company,New York, NY
485,485,MacTarnahans Brewing Company,Portland, OR
486,486,Stillmank Beer Company,Green Bay, WI
487,487,Redhook Brewery,Woodinville, WA
488,488,Dock Street Brewery,Philadelphia, PA
489,489,Blue Point Brewing Company,Patchogue, NY
490,490,Tampa Bay Brewing Company,Tampa, FL
491,491,Devil's Canyon Brewery,Belmont, CA
492,492,Stone Coast Brewing Company,Portland, ME
493,493,Broken Tooth Brewing Company,Anchorage, AK
494,494,Seven Brides Brewery,Silverton, OR
495,495,Newburyport Brewing Company,Newburyport, MA
496,496,Dry Dock Brewing Company,Aurora, CO
497,497,Cans Bar and Canteen,Charlotte, NC
498,498,Sprecher Brewing Company,Glendale, WI
499,499,Wildwood Brewing Company,Stevensville, MT
